Year,Team,KPrank,KPvalue,Conference,Champion
2002,Maryland,3,29.25,ACC,1
2002,Indiana,6,24.8,B10,0
2002,Kansas,4,28.99,B12,0
2002,Oklahoma,5,26.04,B12,0
2003,Syracuse,8,23.28,BGE,1
2003,Kansas,2,28.62,B12,0
2003,Texas,7,23.49,B12,0
2003,Marquette,15,21.3,USA,0
2004,Connecticut,2,28.3,BGE,1
2004,Georiga Tech,8,24.69,ACC,0
2004,Duke,1,32.33,ACC,0
2004,Oklahoma State,4,27.37,B12,0
2005,North Carolina,1,32.77,ACC,1
2005,Illinois,2,32.68,B10,0
2005,Louisville,4,25.78,USA,0
2005,Michigan State,5,25.67,B10,0
2006,Florida,1,28.28,SEC,1
2006,UCLA,7,23.4,P12,0
2006,LSU,11,22,SEC,0
2006,George Mason,22,18.16,COL,0
2007,Florida,2,30.81,SEC,1
2007,Ohio State,3,29.33,B10,0
2007,UCLA,6,27.15,P12,0
2007,Georgetown,4,28.48,BGE,0
2008,Kansas,1,35.21,B12,1
2008,Memphis,2,31.51,USA,0
2008,UCLA,4,29.94,P12,0
2008,North Carolina,3,30.22,ACC,0
2009,North Carolina,1,31.14,ACC,1
2009,Michigan State,9,24.37,B10,0
2009,Connecticut,2,29.25,BGE,0
2009,Villanova,13,23.89,BGE,0
2010,Duke,1,33.29,ACC,1
2010,Butler,12,22.45,HOR,0
2010,Michigan State,20,20.13,B10,0
2010,West Virginia,5,25.54,BGE,0
2011,Connecticut,10,23.93,BGE,1
2011,Butler,36,16.46,HOR,0
2011,Kentucky,7,25.82,SEC,0
2011,VCU,53,13.49,COL,0
2012,Kentucky,1,32.59,SEC,1
2012,Kansas,4,26.91,B12,0
2012,Ohio State,2,30.07,B10,0
2012,Louisville,17,20.67,BGE,0
2013,Louisville,1,32.92,BGE,1
2013,Michigan,4,27.86,B10,0
2013,Syracuse,9,24.83,ACC,0
2013,Wichita State,17,20.31,MVC,0
2014,Connecticut,15,22.13,AMR,1
2014,Kentucky,13,22.55,SEC,0
2014,Florida,3,28.57,SEC,0
2014,Wisconsin,5,25.89,B10,0
2015,Duke,3,32.48,ACC,1
2015,Wisconsin,2,33.72,B10,0
2015,Michigan State,15,21.72,B10,0
2015,Kentucky,1,36.91,SEC,0
2016,Villanova,1,32.01,BGE,1
2016,North Carolina,2,29.82,ACC,0
2016,Oklahoma,10,23.78,B12,0
2016,Syracuse,27,18.57,ACC,0
2017,North Carolina,3,28.22,ACC,1
2017,Gonzaga,1,32.05,WCC,0
2017,Oregon,10,25.02,P12,0
2017,South Carolina,24,20.8,SEC,0
2018,Villanova,1,33.76,BGE,1
2018,Michigan,7,24.2,B10,0
2018,Kansas,9,23.49,B12,0
2018,Loyola Chicago,31,16.39,MVC,0
2019,Virginia,1,34.22,ACC,1
2019,Texas Tech,5,30.03,B12,0
2019,Michigan State,3,30.81,B10,0
2019,Auburn,11,25,SEC,0
2021,Baylor,2,33.87,B12,1
2021,Gonzaga,1,36.48,WCC,0
2021,UCLA,13,22.43,P12,0
2021,Houston,5,28.75,AMR,0
2022,Kansas,3,27.49,B12,1
2022,North Carolina,16,20.13,ACC,0
2022,Duke,8,25.15,ACC,0
2022,Villanova,10,24.56,BGE,0